Step,AgentID,voted_for,num_votes,is_winner,num_wins,threshold,exit_probability,type,opinion1
3,29,,,,,,,voter,0.6032002871217831
3,30,,,,,,,voter,0.07407369376876694
3,31,,,,,,,voter,0.9922780947871629
3,32,,,,,,,voter,0.8461811181720427
3,33,,,,,,,voter,0.629769888759728
3,34,,,,,,,voter,0.2462563075812223
3,35,,,,,,,voter,0.0034776959756934733
3,36,,,,,,,voter,0.7727230961740279
3,37,,,,,,,voter,0.9985074931365088
3,38,,,,,,,voter,0.4502391845614866
3,39,,,,,,,voter,0.3189288674373776
3,40,,,,,,,voter,0.15032990596892437
3,41,,,,,,,voter,0.6623829599945449
3,42,,,,,,,voter,0.5174053856530753
3,43,,,,,,,voter,0.39706817158913077
3,44,,,,,,,voter,0.06038159055136738
3,45,,,,,,,voter,0.17081174990424353
3,46,,,,,,,voter,0.3386064566523018
3,47,,,,,,,voter,0.28060068940625194
3,48,,,,,,,voter,0.37311621585572086
3,49,,,,,,,voter,0.1967771047738196
3,50,,,,,,,voter,0.8820048210823677
3,51,,,,,,,voter,0.6241773054582952
3,52,,,,,,,voter,0.877998894168332
3,53,,,,,,,voter,0.9339641350891916
3,54,,,,,,,voter,0.839804471108769
3,55,,,,,,,voter,0.6579109061945336
3,56,,,,,,,voter,0.852429932212535
3,57,,,,,,,voter,0.5623682524848367
3,58,,,,,,,voter,0.13153777338011485
3,59,,,,,,,voter,0.6778660934548406
3,60,,,,,,,voter,0.4795132462785304
3,61,,,,,,,voter,0.7038333022276446
3,62,,,,,,,voter,0.8490768454596049
3,63,,,,,,,voter,0.8521290399807969
3,64,,,,,,,voter,0.6539993593481648
3,65,,,,,,,voter,0.8747512626596877
3,66,,,,,,,voter,0.3430762965901084
3,67,,,,,,,voter,0.3369618225208094
3,68,,,,,,,voter,1.0
3,69,,,,,,,voter,0.3770251792785009
3,70,,,,,,,voter,0.5971696691075996
3,71,,,,,,,voter,0.635661837711495
3,72,,,,,,,voter,0.18577319677489712
3,73,,,,,,,voter,0.045014372338202935
3,74,,,,,,,voter,0.1514114739510629
3,75,,,,,,,voter,0.29099617768863295
3,76,,,,,,,voter,0.10565748815931764
3,77,,,,,,,voter,0.0374154546594434
3,78,,,,,,,voter,0.19199154501723192
3,79,,,,,,,voter,0.48971245649356254
3,80,,,,,,,voter,0.4743554499334156
3,81,,,,,,,voter,0.00986447754930031
3,82,,,,,,,voter,0.8705242839591949
3,83,,,,,,,voter,0.6021423154232628
3,84,,,,,,,voter,0.39351796319198284
3,85,,,,,,,voter,0.5795760977992699
3,86,,,,,,,voter,0.5530131875453652
3,87,,,,,,,voter,0.5443453364892799
3,88,,,,,,,voter,0.7411238140451639
3,89,,,,,,,voter,0.31039866522464554
3,90,,,,,,,voter,0.712565829302431
3,91,,,,,,,voter,0.27246796243142435
3,92,,,,,,,voter,0.24550676502471525
3,93,,,,,,,voter,0.6007967420868106
3,94,,,,,,,voter,0.3740234186473119
3,95,,,,,,,voter,0.7522024549390374
3,96,,,,,,,voter,0.6252572496152482
3,97,,,,,,,voter,0.10345678982179551
3,98,,,,,,,voter,0.4773914803706424
3,99,,,,,,,voter,0.5005321294168377
3,100,100.0,0.0,False,0.0,0.95,0.33,candidate,0.9220085751554633
3,101,101.0,0.0,False,0.0,0.95,0.33,candidate,0.21553221324919986
3,102,102.0,0.0,False,0.0,0.95,0.33,candidate,0.13095624970576022
4,0,,,,,,,voter,0.5473422720607841
4,1,,,,,,,voter,0.292320296591856
4,2,,,,,,,voter,0.24196940108190035
4,3,,,,,,,voter,0.2429294028568345
4,4,,,,,,,voter,0.539881252385259
4,5,,,,,,,voter,0.8738815775243158
4,6,,,,,,,voter,0.8984867806503969
4,7,,,,,,,voter,0.6443570782074236
4,8,,,,,,,voter,0.9685457843837484
4,9,,,,,,,voter,0.7078753301817116
4,10,,,,,,,voter,0.12559539860734958
4,11,,,,,,,voter,0.9653384189289855
4,12,,,,,,,voter,0.8064805701977665
4,13,,,,,,,voter,0.47804742956456214
4,14,,,,,,,voter,0.9337431405917832
4,15,,,,,,,voter,0.8151610605017898
4,16,,,,,,,voter,0.16897769011371755
4,17,,,,,,,voter,0.8279573651204574
4,18,,,,,,,voter,0.6531085691840138
4,19,,,,,,,voter,0.615329986251283
4,20,,,,,,,voter,0.1552483420372649
4,21,,,,,,,voter,0.4112799625411737
4,22,,,,,,,voter,0.48758140890920254
4,23,,,,,,,voter,0.7209172273136791
4,24,,,,,,,voter,0.8238879161023359
4,25,,,,,,,voter,0.980373962429508
4,26,,,,,,,voter,0.6192993253250952
4,27,,,,,,,voter,0.02582645249485227
4,28,,,,,,,voter,0.8758116345776423
4,29,,,,,,,voter,0.6032002871217831
4,30,,,,,,,voter,0.07407369376876694
4,31,,,,,,,voter,0.9922780947871629
4,32,,,,,,,voter,0.8461811181720427
4,33,,,,,,,voter,0.629769888759728
4,34,,,,,,,voter,0.2462563075812223
4,35,,,,,,,voter,0.0034776959756934733
4,36,,,,,,,voter,0.7727230961740279
4,37,,,,,,,voter,0.9985074931365088
4,38,,,,,,,voter,0.4502391845614866
4,39,,,,,,,voter,0.3189288674373776
4,40,,,,,,,voter,0.15032990596892437
4,41,,,,,,,voter,0.6623829599945449
4,42,,,,,,,voter,0.5174053856530753
4,43,,,,,,,voter,0.39706817158913077
4,44,,,,,,,voter,0.06038159055136738
4,45,,,,,,,voter,0.17081174990424353
4,46,,,,,,,voter,0.3386064566523018
4,47,,,,,,,voter,0.28060068940625194
4,48,,,,,,,voter,0.37311621585572086
4,49,,,,,,,voter,0.1967771047738196
4,50,,,,,,,voter,0.8820048210823677
4,51,,,,,,,voter,0.6241773054582952
4,52,,,,,,,voter,0.877998894168332
4,53,,,,,,,voter,0.9339641350891916
4,54,,,,,,,voter,0.839804471108769
4,55,,,,,,,voter,0.6579109061945336
4,56,,,,,,,voter,0.852429932212535
4,57,,,,,,,voter,0.5623682524848367
4,58,,,,,,,voter,0.13153777338011485
4,59,,,,,,,voter,0.6778660934548406
4,60,,,,,,,voter,0.4795132462785304
4,61,,,,,,,voter,0.7038333022276446
4,62,,,,,,,voter,0.8490768454596049
4,63,,,,,,,voter,0.8521290399807969
4,64,,,,,,,voter,0.6539993593481648
4,65,,,,,,,voter,0.8747512626596877
4,66,,,,,,,voter,0.3430762965901084
4,67,,,,,,,voter,0.3369618225208094
4,68,,,,,,,voter,1.0
4,69,,,,,,,voter,0.3770251792785009
4,70,,,,,,,voter,0.5971696691075996
4,71,,,,,,,voter,0.635661837711495
4,72,,,,,,,voter,0.18577319677489712
4,73,,,,,,,voter,0.045014372338202935
4,74,,,,,,,voter,0.1514114739510629
4,75,,,,,,,voter,0.29099617768863295
4,76,,,,,,,voter,0.10565748815931764
4,77,,,,,,,voter,0.0374154546594434
4,78,,,,,,,voter,0.19199154501723192
4,79,,,,,,,voter,0.48971245649356254
4,80,,,,,,,voter,0.4743554499334156
4,81,,,,,,,voter,0.00986447754930031
4,82,,,,,,,voter,0.8705242839591949
4,83,,,,,,,voter,0.6021423154232628
4,84,,,,,,,voter,0.39351796319198284
4,85,,,,,,,voter,0.5795760977992699
4,86,,,,,,,voter,0.5530131875453652
4,87,,,,,,,voter,0.5443453364892799
4,88,,,,,,,voter,0.7411238140451639
4,89,,,,,,,voter,0.31039866522464554
4,90,,,,,,,voter,0.712565829302431
4,91,,,,,,,voter,0.27246796243142435
4,92,,,,,,,voter,0.24550676502471525
4,93,,,,,,,voter,0.6007967420868106
4,94,,,,,,,voter,0.3740234186473119
4,95,,,,,,,voter,0.7522024549390374
4,96,,,,,,,voter,0.6252572496152482
4,97,,,,,,,voter,0.10345678982179551
4,98,,,,,,,voter,0.4773914803706424
4,99,,,,,,,voter,0.5005321294168377
4,100,100.0,0.0,False,0.0,0.95,0.33,candidate,0.9077649009424803
4,101,101.0,0.0,False,0.0,0.95,0.33,candidate,0.22176334116272092
4,102,102.0,0.0,False,0.0,0.95,0.33,candidate,0.14116630694259144
5,0,,,,,,,voter,0.5473422720607841
5,1,,,,,,,voter,0.292320296591856
5,2,,,,,,,voter,0.24196940108190035
5,3,,,,,,,voter,0.2429294028568345
5,4,,,,,,,voter,0.539881252385259
5,5,,,,,,,voter,0.8738815775243158
5,6,,,,,,,voter,0.8984867806503969
5,7,,,,,,,voter,0.6443570782074236
